,Articulo_Codigo,Articulo_Nombre,Grupo_Codigo,Grupo_Nombre,Subgrupo_Codigo,Subgrupo_Nombre
36,18300,CERVEZA SAN MIGUEL 6X1/4,58,CERVEZAS,1,CERVEZAS ESTANDAR BT
37,40072,CERVEZA ESTRELLA GALICIA 6X20CL,58,CERVEZAS,1,CERVEZAS ESTANDAR BT
38,37963,CERVEZA SAN MIGUEL SELECTA BT.1/3,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
39,73908,CERVEZA AMSTEL 6X1/4L,58,CERVEZAS,1,CERVEZAS ESTANDAR BT
40,79291,CERVEZA SAN MIGUEL 12X1/4,58,CERVEZAS,1,CERVEZAS ESTANDAR BT
41,84810,CERVEZA KELER'18'LUXE 6X1/4L,58,CERVEZAS,1,CERVEZAS ESTANDAR BT
42,7672,CERVEZA CRUZCAMPO 6X1/4,58,CERVEZAS,1,CERVEZAS ESTANDAR BT
43,79507,CERVEZA ESTRELLA DAMM 6X1/4L,58,CERVEZAS,1,CERVEZAS ESTANDAR BT
44,84588,CERVEZA VOLL-DAMM 6X1/4 NR,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
45,63318,CERVEZA MAHOU 5 ESTRELL 6X1/4,58,CERVEZAS,1,CERVEZAS ESTANDAR BT
46,8129,CERVEZA MAHOU CLASIC 6X1/4,58,CERVEZAS,1,CERVEZAS ESTANDAR BT
47,74141,CERVEZA MAHOU MIXTA LIM 6X1/4L,58,CERVEZAS,3,CERVEZAS SABORES
48,62874,CERVEZA CRUZCAMPO SHAND.LIM 6X1/4L,58,CERVEZAS,3,CERVEZAS SABORES
49,7197,CERVEZA KELER'18'12X1/4 L,58,CERVEZAS,1,CERVEZAS ESTANDAR BT
50,40074,CERVEZA VOLL-DAMM 4X1/3 NR,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
51,2942,CERVEZA SAN MIGUEL SELECTA L/33ML,58,CERVEZAS,7,CERVEZAS SOFISTICADAS LATA
52,79922,CERVEZA SAN MIGUEL 24X1/4,58,CERVEZAS,1,CERVEZAS ESTANDAR BT
53,4978,CERVEZA BAVARIA S/ALCOH L/33CL,58,CERVEZAS,4,"CERVEZAS SIN ALCOHOL 0,0"
